currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate,reservationTerm
USD,0.0,3.144,3.144,eastus,US East,2023-07-01T00:00:00Z,014756fe-7ab9-55ee-9438-f718076ca48c,EC48adscc v5,DZH318Z0BDCH,DZH318Z0BDCH/008B,Virtual Machines ECadsccv5 Series,Standard_EC48ads_cc_v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_EC48ads_cc_v5,,
USD,0.0,4.176,4.176,eastus,US East,2022-06-01T00:00:00Z,01560ec2-7e2d-5579-841e-ef06c3bd2d06,L48s v3,DZH318Z08NR7,DZH318Z08NR7/005R,Virtual Machines Lsv3 Series,Standard_L48s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_L48s_v3,,
USD,0.0,23412.0,23412.0,eastus,US East,2022-06-01T00:00:00Z,01560ec2-7e2d-5579-841e-ef06c3bd2d06,L48s v3,DZH318Z08NR7,DZH318Z08NR7/01J9,Virtual Machines Lsv3 Series,Standard_L48s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Standard_L48s_v3,,1 Year
USD,0.0,0.0,0.0,eastus,US East,2024-06-01T00:00:00Z,0168980d-f804-539f-baff-5c67317d5fab,E2ps v6 Spot,DZH318Z0G1H0,DZH318Z0G1H0/006C,Virtual Machines Epsv6 Series,E2ps v6 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E2ps_v6,,
USD,0.0,1.728,1.728,eastus,US East,2023-06-01T00:00:00Z,016ae85f-bd52-526e-a01f-9af6ed76a24c,HX176-144rs Low Priority,DZH318Z0K1LF,DZH318Z0K1LF/0023,Virtual Machines HXrs Series,HX176-144rs Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_HX176-144rs,,
USD,0.0,0.114,0.114,eastus,US East,2024-08-01T00:00:00Z,017b0038-0ffc-5f50-b09d-4eeb52a99e53,DC2adsv6,DZH318Z0FG7C,DZH318Z0FG7C/006T,Virtual Machines DCadsv6 series,DC2adsv6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_DC2ads_v6,,
USD,0.0,0.145,0.145,eastus,US East,2024-08-01T00:00:00Z,018bebc4-1f2a-52a5-952a-27da4de25346,EC2adsv6,DZH318Z0F6ZS,DZH318Z0F6ZS/0022,Virtual Machines ECadsv6 series Linux,EC2adsv6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_EC2ads_v6,,
USD,0.0,6.266,6.266,eastus,US East,2024-03-01T00:00:00Z,01925498-214d-5db8-a88a-56d7e39c9985,D64ads_v6,DZH318Z0F5F9,DZH318Z0F5F9/0044,Virtual Machines Dadsv6 Series Windows,D64ads_v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64ads_v6,2024-08-31T23:59:00Z,
USD,0.0,4.35,4.35,eastus,US East,2024-06-01T00:00:00Z,01a32144-1e8d-57ce-8aa7-f9ad73955a0e,D48ls v6,DZH318Z0GNGZ,DZH318Z0GNGZ/007G,Virtual Machines Dlsv6 Series Windows,D48ls v6,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48ls_v6,,
USD,0.0,0.0,0.0,eastus,US East,2024-06-01T00:00:00Z,01b4b4bd-b420-5a80-a3e9-ca679c28d375,D48pls v6 Spot,DZH318Z0G1GP,DZH318Z0G1GP/000B,Virtual Machines Dplsv6 Series,D48pls v6 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D48pls_v6,,
